name,category,area,address,phone,description
Cafe & Restaurant DADA PLUS,飲食店,大宮町,静岡県富士宮市大宮町4-5,0544-23-1385,大宮町のカフェ・レストラン。市街地散策の途中で食事や休憩をしたい時に立ち寄りやすい店です。
食事処 おおいし,飲食店,小泉,静岡県富士宮市小泉1141-1,0544-27-5430,小泉エリアの定食屋。地元の食事処らしい雰囲気を楽しみながら、しっかり食事をしたい時に向いています。
西洋食堂ミナトヤ,飲食店,万野原新田,静岡県富士宮市万野原新田,0544-26-9988,地元食材の良さを最大限に引き出し、心温まる絶品洋食を提供する人気店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
山下,飲食店,中央町,静岡県富士宮市中央町3-4,0544-26-8060,中央町の定食屋。富士宮駅周辺で手軽に食事をしたい時に使いやすい店です。
Dining Room7-7,飲食店,神田川町,静岡県富士宮市神田川町7-7,0544-21-9246,神田川町のレストラン。市街地散策や浅間大社周辺観光と組み合わせやすい立地です。
喰進房,飲食店,浅間町,静岡県富士宮市浅間町4-22,0544-26-3337,浅間町の居酒屋・食事処。市街地で食事とお酒を楽しみたい時の候補です。
食工房 夢舎,飲食店,元城町,静岡県富士宮市元城町31-23,0544-28-5200,元城町の居酒屋。夜に地元の雰囲気を楽しみながら食事をしたい人に向いています。
魚けん,飲食店,大宮町,静岡県富士宮市大宮町2-12,0544-26-4143,大宮町の和食店。富士宮市街地で和食や魚料理を楽しみたい時の候補です。
喜せらせら,飲食店,宮町,静岡県富士宮市西町,0544-22-9988,西富士宮駅周辺。名古屋名物と富士宮の味を融合させた話題の新感覚居酒屋。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
一蕃鶏,飲食店,東町,静岡県富士宮市東町22-7,0544-24-1429,東町の焼き鳥店。富士宮市街地で夜の食事を楽しみたい人に向いています。
五平茶屋,飲食店,上井出,静岡県富士宮市上井出3776-7,0544-54-0514,上井出エリアの定食屋。朝霧・白糸方面へのドライブ途中に立ち寄りやすい店です。
月桃食堂,飲食店,宮町,静岡県富士宮市宮町4-24,0544-25-1506,宮町の飲食店。浅間大社やお宮横丁周辺の観光途中に立ち寄りやすい立地です。
つぼ半,富士宮やきそば,中央町,静岡県富士宮市中央町,0544-26-3825,地元民に深く愛される、アットホームな雰囲気で絶品やきそばが味わえる名店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
虹ヤ,富士宮やきそば,中央町,静岡県富士宮市中央町,0544-22-1234,こだわりの麺とソースが自慢。落ち着いた店内で味わえる隠れ家的やきそば店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
ヤマモト,富士宮やきそば,大宮町,静岡県富士宮市大宮町,0544-26-5522,地元で長く愛され続ける、昔ながらの素朴で美味しいお好み焼き・やきそば店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
どんどん,富士宮やきそば,西町,静岡県富士宮市西町,0544-26-7890,リーズナブルに美味しいお好み焼きや富士宮やきそばが楽しめる地元密着店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
お好み焼き 木下,富士宮やきそば,淀師周辺,静岡県富士宮市淀師周辺,,地域住民に親しまれるアットホームな鉄板焼き・お好み焼きの老舗。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
蕎麦割烹 志ほ川 本店,飲食店,西町,静岡県富士宮市西町11-1,0544-26-2641,昭和6年創業の老舗。富士山の清らかな水と厳選された蕎麦粉による極上の蕎麦や和食。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
割烹 竹の子,飲食店,大宮町,静岡県富士宮市大宮町16-12,0544-26-3351,浅間大社近くの落ち着いた空間で、旬の食材を生かした本格的な和食や会席。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
八平,飲食店,大宮町,静岡県富士宮市大宮町15-1,0544-26-4433,浅間大社周辺に位置し、長年地元で親しまれてきた趣きのある和食・お食事処。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
ご飯屋 まるや,飲食店,西町,静岡県富士宮市西町,,西町の隠れ家的なお食事処。心温まる日替わり定食や一品料理が味わえる。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
鮨処 葵,飲食店,中央町,静岡県富士宮市中央町,0544-23-1122,駿河湾の新鮮な海の幸を中心とした本格的な江戸前寿司が楽しめる名店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
魚河岸寿司 富士宮駅前店,飲食店,中央町,静岡県富士宮市中央町,0544-24-3344,駅チカで新鮮な地魚や握り寿司を気軽に楽しめる人気店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
和食処 若松,飲食店,宮町,静岡県富士宮市宮町,0544-22-6677,地元の食材を活かした天ぷらや御膳料理が評判の落ち着いた和食店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
そば処 山本,飲食店,大宮町,静岡県富士宮市大宮町,0544-26-4321,手打ちの風味豊かな蕎麦と丼ぶりがセットで楽しめる地元密着の蕎麦処。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
麺屋ブルーズ,飲食店,大宮町,静岡県富士宮市大宮町,0544-23-3388,富士宮駅から徒歩圏内。こだわりの極上スープと多彩なラーメンが絶品の超人気店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
CAFE & RESTAURANT DADA 富士宮店,飲食店,大宮町,静岡県富士宮市大宮町,0544-22-1133,地元でもおなじみのハンバーグや洋食が楽しめる人気レストランチェーン。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
中華料理 栄華,飲食店,中央町,静岡県富士宮市中央町,0544-26-2111,ボリューム満点の中華料理やラーメンが地元で愛されるアットホームなお店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
カフェ・ド・エム,飲食店,中央町,静岡県富士宮市中央町,0544-23-4567,富士宮駅近くの落ち着いた空間で、こだわりのコーヒーや軽食が楽しめる喫茶店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
喫茶 待夢,飲食店,大宮町,静岡県富士宮市大宮町,0544-26-8899,昭和レトロな雰囲気が漂う、ゆったりとした時間を過ごせる老舗喫茶店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
魚匠 樹苑,飲食店,中央町,静岡県富士宮市中央町,0544-22-5511,富士宮駅近く。新鮮な海の幸や活気ある雰囲気が楽しめる人気の海鮮居酒屋。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
月あかり 富士宮店,飲食店,中央町,静岡県富士宮市中央町,0544-23-8811,富士宮駅から徒歩3分。個室も充実し、和食や多彩な一品料理が楽しめる居酒屋。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
ときわ亭,飲食店,中央町,静岡県富士宮市中央町,0544-26-1234,駅近で気軽に立ち寄れる、地元でも馴染み深いアットホームな居酒屋。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
BROS BAR kool,飲食店,中央町,静岡県富士宮市中央町,0544-23-5522,落ち着いた大人の雰囲気の中で、美味しいお酒と音楽が楽しめるバー。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
隠れ家ダイニング 輪,飲食店,中央町,静岡県富士宮市中央町,0544-24-7788,旬の食材を使った創作料理と美味しい地酒が隠れ家風の空間で味わえるお店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
串特急 富士宮駅前店,飲食店,中央町,静岡県富士宮市中央町,0544-22-3311,焼き鳥や豊富な居酒屋メニューがリーズナブルに楽しめるチェーン店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
スナック 舞,飲食店,中央町,静岡県富士宮市中央町,0544-26-6655,地元の夜を温かく迎えてくれる、アットホームな雰囲気のナイトスポット。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
むめさん,富士宮やきそば,上井出,静岡県富士宮市上井出854-50,0544-54-1161,白糸の滝から徒歩圏内。具だくさんでボリューム満点のお好み焼きやモチモチの焼きそばが大人気。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
ドライブインもちや（お食事処・売店）,飲食店,北山,静岡県富士宮市北山4724-1,0544-54-0230,もちやが経営する大型ドライブイン。つきたてのお餅や、ラーメン、定食、お餅バイキングなどが楽しめる。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
白糸食堂,飲食店,上井出,静岡県富士宮市上井出,0544-54-0411,白糸の滝観光の際に気軽に立ち寄れる、家庭的な定食や麺類が味わえる地元密着の食堂。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
お食事処 やまちゃん,飲食店,上井出,静岡県富士宮市上井出,0544-54-1234,上井出エリアののどかな景色の中で、温かいラーメンや丼ぶりが楽しめる小料理・食堂。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
ドライブイン滝,飲食店,上井出,静岡県富士宮市上井出,0544-54-0123,滝周辺の観光客に長年親しまれてきた、うどんやそば、軽食が楽しめるスポット。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
食事処 富士見,飲食店,北山,静岡県富士宮市北山,0544-54-5678,窓から富士山の美しい姿を望みながら、アットホームな定食や郷土の味が楽しめる。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
富士山白糸庵,飲食店,原,静岡県富士宮市原1199-12,0544-54-3050,世界遺産・白糸の滝のすぐ近く。雄大な富士山の絶景を眺めながら、手打ちの田舎蕎麦や山菜の天ぷらを味わえる。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
そばの実 一閑人,飲食店,内野,静岡県富士宮市内野1551-42,0544-54-0507,朝霧高原手前の静かなエリアにある、自家製粉の十割そばやこだわりの玄挽きせいろが味わえるそば通必見の名店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
ふじしげ,飲食店,上井出,静岡県富士宮市上井出1285-1,0544-54-0158,富士山を望むロケーションで、朝霧ヨーグル豚のしゃぶしゃぶやとんかつ、特産のニジマス料理などが堪能できる。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
白糸滝養魚場 食堂,飲食店,上井出,静岡県富士宮市上井出,0544-54-0320,白糸の滝周辺の清流で育った新鮮なニジマス（虹鱒）の塩焼きやフライなどの川魚料理が味わえる。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
そば処 滝川,飲食店,上井出,静岡県富士宮市上井出,0544-54-1122,自然豊かな上井出の清らかな水を使った、風味豊かな手打ちそばと天ぷらが評判。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
和食処 麓（ふもと）,飲食店,北山,静岡県富士宮市北山,0544-54-3344,富士山麓の静寂な環境の中、旬の和食膳や素材にこだわった川魚料理が楽しめる。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
まかいの牧場「農場レストランでいただきます」,飲食店,内野,静岡県富士宮市内野1327-1,0544-54-0342,富士山麓の牧場内。新鮮な乳製品や地元食材をふんだんに使った自然派ビュッフェ。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
COW RESORT IDEBOK in 富士山高原（カウリゾートイデボク）,飲食店,人穴,静岡県富士宮市人穴,0544-52-2211,放牧された牛と富士山を眺めながら、極上のミルク、ソフトクリーム、クレープを堪能。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
CAFE NATUREL（カフェナチュレ）,飲食店,人穴,静岡県富士宮市人穴,,世界遺産・人穴富士講遺跡の近く、大自然に囲まれたこだわりのオーガニックカフェ。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
陣馬の滝 休憩所・売店,飲食店,山宮,静岡県富士宮市山宮,,美しい湧水スポット「陣馬の滝」のそばで、冷たいドリンクや軽食、甘味が楽しめる。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
カフェ・ド・白糸,飲食店,上井出,静岡県富士宮市上井出,0544-54-4455,白糸の滝周辺の観光散策の合間に、こだわりのコーヒーや手作りケーキで一息つける隠れ家カフェ。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
牧場スイーツ工房 あさぎり（上井出周辺拠点）,飲食店,上井出周辺,静岡県富士宮市上井出周辺,0544-54-7788,地元の新鮮な朝霧牛乳を使用したジェラートやプリンなどのスイーツを販売する人気店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
ペンション＆レストラン 森の仲間,飲食店,北山,静岡県富士宮市北山,0544-54-2233,豊かな自然に囲まれたペンション併設のレストラン。アットホームな洋食や手作りディナーが味わえる。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
カントリーレストラン ヤマボウシ,飲食店,上井出,静岡県富士宮市上井出,0544-54-6677,ログハウス風の温かみのある店内で、こだわりの肉料理や自家製パンなどの洋食が楽しめる。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
富士山麓 ログカフェ ヴェール,飲食店,北山,静岡県富士宮市北山,0544-54-8899,木の温もりに包まれた店内で、特製カレーやハーブティーが楽しめる癒やしのカフェ。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
食事処・喫茶 木の実,飲食店,上井出,静岡県富士宮市上井出,0544-54-0987,地元住民やハイカーに愛される、気取らないアットホームな喫茶・軽食スポット。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
ビュッフェレストランふじさん（道の駅朝霧高原内）,飲食店,根原字宝山,静岡県富士宮市根原字宝山492-14,0544-52-2230,朝霧高原の旬の食材や地産地消の料理が35種類以上揃う大人気の絶景バイキングレストラン。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
あさぎりフードパーク 飲食店エリア,飲食店,根原,静岡県富士宮市根原449-11,0544-52-2235,朝霧高原の食のテーマパーク。地元の食材やバイキング、工房の味が楽しめる。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
富士山 朝霧の恵み食堂（道の駅周辺拠点）,飲食店,根原,静岡県富士宮市根原,0544-52-0111,朝霧の新鮮な野菜や豚肉を使った定食が味わえる、ドライブ途中の立ち寄りに最適なスポット。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
道の駅朝霧高原 売店・軽食コーナー,飲食店,根原字宝山,静岡県富士宮市根原字宝山492-14,0544-52-2230,朝霧牛乳を使ったソフトクリームや、ご当地グルメの豚串などが気軽に楽しめる。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
あさぎり乳業 売店・アイス工房,飲食店,根原,静岡県富士宮市根原449-11（あさぎりフードパーク内）,0544-52-2236,地元の生乳にこだわった濃厚なソフトクリームやジェラート、乳製品が勢揃い。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
富士ミルクランド 売店・ジェラート工房,飲食店,内野,静岡県富士宮市内野1332-1,0544-54-0234,動物とのふれあいとともに、絞り立てミルクを使ったジェラートやチーズケーキが味わえる。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
朝霧高原 牧場カフェ 風のテラス,飲食店,内野,静岡県富士宮市内野,0544-54-5588,雄大な草原と富士山を眺めながら、淹れたてコーヒーと手作りスイーツで寛げる。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
富士お祭り牧場 ジンギスカンコーナー,飲食店,根原,静岡県富士宮市根原,0544-52-0333,朝霧高原の開放的な大自然の中で、新鮮なジンギスカンやバーベキューが堪能できる。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
あさぎりバーベキューガーデン,飲食店,内野,静岡県富士宮市内野,0544-54-4422,富士山の絶景を背に、朝霧ヨーグル豚や地元牛のバーベキューが手ぶらで楽しめる。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
朝霧高原 食事処 山ぼうし（高原店）,飲食店,根原,静岡県富士宮市根原,0544-52-1199,ドライブの合間に立ち寄れる、温かいスープや肉料理が評判の高原のロッジ風食堂。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
ペンション朝霧 併設カフェ,飲食店,内野,静岡県富士宮市内野,0544-54-1212,ヨーロッパの山小屋を思わせる温かい雰囲気の中で、手作りの朝食やコーヒーを提供。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
朝霧高原ロッジ レストラン,飲食店,根原,静岡県富士宮市根原,0544-52-0555,豊かな自然に囲まれた宿泊施設内のレストラン。地元の食材を活かした素朴な洋食。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
カントリーカフェ あさぎり,飲食店,内野,静岡県富士宮市内野,0544-54-7733,カントリー調の店内で、自家製ハーブティーやホットサンドが味わえる隠れ家的なお店。 富士宮観光の食事候補として、周辺観光と組み合わせて立ち寄りやすい一店です。
